Tipo_Ataque,Tasa_Ocurrencia (%),Vector_Infeccion,Nivel_Impacto (1-10),Tiempo_Recuperacion (horas),Costo_Recuperacion (USD)
Virus,65,Correo electrónico,3,69,1887
Ransomware,19,Descarga de archivos,8,442,20567
Ransomware,32,Correo electrónico,10,180,46908
Phishing,93,Sitio web comprometido,7,21,2097
Ransomware,43,Correo electrónico,7,371,46503
Botnet,21,Correo electrónico,7,126,1204
Botnet,43,Correo electrónico,6,150,1295
Phishing,94,Ingeniería social,4,18,11451
Gusano (Worm),61,Vulnerabilidad de red,8,76,18812
Ransomware,16,Sitio web comprometido,9,51,36959
Botnet,34,Correo electrónico,9,126,14880
Spyware,46,Sitio web comprometido,6,5,4778
Virus,41,Sitio web comprometido,7,62,3135
Virus,55,Descarga de archivos,7,19,7702
Phishing,68,Correo electrónico,7,13,2650
Troyano,39,Descarga de archivos,7,19,11283
Ransomware,48,Sitio web comprometido,7,487,12760
Gusano (Worm),64,Vulnerabilidad de red,8,66,6729
Botnet,24,Correo electrónico,6,152,13373
Ransomware,26,Correo electrónico,10,101,47628
Gusano (Worm),45,Vulnerabilidad de red,9,94,5683
Botnet,49,Sitio web comprometido,6,111,18833
Virus,73,Correo electrónico,5,31,4312
Rootkit,18,Descarga de archivos,10,184,4827
Spyware,37,Descarga de archivos,6,49,5079
Spyware,59,Correo electrónico,7,41,1188
Ransomware,39,Sitio web comprometido,7,487,43102
Adware,65,Descarga de archivos,2,4,656
Virus,38,Descarga de archivos,4,67,3809
Adware,36,Correo electrónico,4,12,849
Spyware,42,Descarga de archivos,7,8,4497
Phishing,49,Correo electrónico,6,18,9929
Gusano (Worm),33,Vulnerabilidad de red,7,115,9764
Virus,79,Descarga de archivos,4,32,3094
Gusano (Worm),54,Correo electrónico,6,128,5268
Gusano (Worm),65,Vulnerabilidad de red,9,144,2945
Spyware,35,Descarga de archivos,3,26,2302
Adware,88,Descarga de archivos,4,10,1358
Spyware,47,Descarga de archivos,7,27,733
Spyware,50,Descarga de archivos,3,55,3828
Ataque DDoS,28,Vulnerabilidad de red,8,24,4655
Adware,54,Descarga de archivos,4,5,1887
Phishing,50,Correo electrónico,7,64,12516
Rootkit,12,Vulnerabilidad de red,10,277,19743
Virus,70,Descarga de archivos,6,61,7654
Ataque DDoS,29,Sitio web comprometido,8,19,25979
Virus,79,USB,3,14,2393
Troyano,68,Descarga de archivos,9,118,16566
Spyware,35,Correo electrónico,3,34,1067
Phishing,60,Correo electrónico,5,34,7896
Virus,41,Descarga de archivos,3,80,2935
Phishing,82,Ingeniería social,7,5,1945
Botnet,12,Correo electrónico,6,137,17215
Ransomware,44,Correo electrónico,9,52,32931
Phishing,73,Ingeniería social,7,32,12056
Adware,85,Descarga de archivos,2,1,601
Spyware,50,Descarga de archivos,7,57,3212
Ataque DDoS,17,Ingeniería social,6,59,21317
Rootkit,7,Vulnerabilidad de red,10,187,28378
Spyware,26,USB,5,23,5090
Adware,85,Sitio web comprometido,3,19,493
Adware,87,Sitio web comprometido,1,18,1897
Phishing,87,Correo electrónico,6,96,6929
Ataque DDoS,45,Vulnerabilidad de red,9,133,11801
Spyware,44,Sitio web comprometido,5,5,4249
Ransomware,52,Correo electrónico,7,404,29411
Botnet,23,Vulnerabilidad de red,9,92,12627
Adware,36,Descarga de archivos,3,2,795
Virus,45,USB,6,55,2212
Adware,46,Correo electrónico,3,12,993
Troyano,29,Descarga de archivos,7,118,3714
Virus,69,Correo electrónico,5,38,3670
Spyware,39,Descarga de archivos,5,31,3183
Ataque DDoS,36,Sitio web comprometido,6,137,5475
Phishing,85,Correo electrónico,6,34,8291
Ataque DDoS,53,Ingeniería social,9,79,12884
Troyano,63,Descarga de archivos,9,17,12231
Phishing,100,Ingeniería social,4,44,4785
Ataque DDoS,15,Vulnerabilidad de red,9,117,14859
Phishing,78,Ingeniería social,4,27,10790
Troyano,41,Sitio web comprometido,9,54,12393
Troyano,37,Descarga de archivos,5,53,6604
Gusano (Worm),55,USB,9,48,5719
Botnet,14,Vulnerabilidad de red,7,78,9277
Spyware,47,Correo electrónico,5,52,4841
Ataque DDoS,42,Vulnerabilidad de red,7,13,11968
Virus,32,Correo electrónico,5,28,7043
Phishing,62,Correo electrónico,7,95,2722
Troyano,29,Ingeniería social,6,115,13692
Virus,77,Correo electrónico,4,23,4340
Troyano,46,Ingeniería social,6,68,11162
Phishing,83,Correo electrónico,5,38,11151
Ataque DDoS,36,Sitio web comprometido,6,26,20437
Adware,50,Descarga de archivos,3,20,1307
Phishing,96,Ingeniería social,8,24,13055
Virus,36,Correo electrónico,7,11,3962
Virus,85,Descarga de archivos,3,60,1455
Ataque DDoS,33,Sitio web comprometido,10,73,5798
Virus,62,Correo electrónico,5,20,7576
Phishing,77,Ingeniería social,7,57,13096
Phishing,90,Correo electrónico,5,42,12289
Botnet,13,Correo electrónico,7,96,7550
Botnet,30,Descarga de archivos,7,83,17300
Virus,59,Correo electrónico,6,17,7056
Troyano,57,Descarga de archivos,9,74,11229
Virus,47,Correo electrónico,5,79,251
Rootkit,29,Descarga de archivos,10,143,6528
Ransomware,25,Correo electrónico,7,53,28337
Virus,69,Descarga de archivos,4,19,3556
Gusano (Worm),54,Vulnerabilidad de red,6,86,5985
Troyano,26,Descarga de archivos,7,14,4080
Phishing,74,Ingeniería social,7,27,8830
Troyano,64,Correo electrónico,6,43,4065
Adware,33,Sitio web comprometido,4,15,1600
Phishing,49,Correo electrónico,6,8,2944
Botnet,13,Vulnerabilidad de red,9,88,22556
Ataque DDoS,40,Vulnerabilidad de red,5,52,20220
Phishing,93,Correo electrónico,8,81,14713
Botnet,41,Correo electrónico,6,118,17782
Ataque DDoS,24,Vulnerabilidad de red,6,165,25201
Spyware,51,Descarga de archivos,3,35,1054
Phishing,76,Ingeniería social,6,10,8790
Rootkit,20,Descarga de archivos,7,275,23418
Ransomware,28,Sitio web comprometido,8,447,5473
Troyano,45,Sitio web comprometido,5,66,6291
Virus,40,Descarga de archivos,7,15,3809
Spyware,46,Sitio web comprometido,7,47,1019
Phishing,69,Correo electrónico,4,29,5186
Troyano,67,Descarga de archivos,8,77,10669
Ataque DDoS,42,Vulnerabilidad de red,5,96,3392
Botnet,17,Correo electrónico,9,177,4193
Adware,60,Correo electrónico,4,14,1142
Ataque DDoS,58,Vulnerabilidad de red,7,17,30004
Adware,42,Correo electrónico,4,6,1196
Troyano,55,Sitio web comprometido,5,108,1281
Ransomware,35,Sitio web comprometido,10,129,44985
Adware,83,Sitio web comprometido,3,4,498
Troyano,48,Sitio web comprometido,5,45,16549
Troyano,52,Sitio web comprometido,7,70,10836
Gusano (Worm),52,Vulnerabilidad de red,6,36,13501
Troyano,33,Descarga de archivos,7,107,3594
Spyware,60,Descarga de archivos,5,45,339
Phishing,50,Correo electrónico,6,11,9394
Virus,32,USB,6,14,7787
Ransomware,55,Descarga de archivos,10,166,25961
Gusano (Worm),58,Vulnerabilidad de red,9,128,15261
Gusano (Worm),64,USB,9,108,19095
Ransomware,54,Descarga de archivos,7,345,36102
Virus,64,Descarga de archivos,5,67,2502
Virus,78,USB,3,69,1927
Botnet,41,Descarga de archivos,5,150,18455
Phishing,99,Correo electrónico,7,60,13366
Ataque DDoS,30,Vulnerabilidad de red,9,176,19147
Troyano,36,Sitio web comprometido,6,91,14560
Botnet,18,Vulnerabilidad de red,6,157,22056
Ataque DDoS,43,Vulnerabilidad de red,10,58,9463
Phishing,67,Ingeniería social,7,51,10203
Phishing,83,Sitio web comprometido,7,56,10083
Virus,75,Correo electrónico,3,63,846
Adware,77,Descarga de archivos,2,8,314
Adware,66,Descarga de archivos,1,12,1001
Ransomware,53,Vulnerabilidad de red,10,418,38316
Ransomware,26,Sitio web comprometido,7,229,17147
Adware,67,Correo electrónico,3,12,1378
Gusano (Worm),64,Vulnerabilidad de red,9,128,10043
Troyano,45,Descarga de archivos,5,101,7070
Gusano (Worm),56,Sitio web comprometido,7,69,2657
Spyware,35,Correo electrónico,5,31,2736
Ataque DDoS,34,Ingeniería social,6,147,16413
Gusano (Worm),23,Correo electrónico,7,105,11226
Troyano,28,Sitio web comprometido,9,54,8072
Phishing,68,Ingeniería social,6,50,14793
Botnet,10,Sitio web comprometido,7,86,11594
Adware,77,Sitio web comprometido,1,7,414
Spyware,49,Sitio web comprometido,5,47,4677
Rootkit,16,Descarga de archivos,8,140,4257
Virus,33,Sitio web comprometido,5,8,7499
Ransomware,28,Vulnerabilidad de red,8,462,30046
Spyware,31,Sitio web comprometido,7,36,5682
Ransomware,54,Sitio web comprometido,9,199,8349
Ransomware,36,Vulnerabilidad de red,10,111,12657
Phishing,66,Correo electrónico,5,29,8516
Adware,46,Sitio web comprometido,2,18,1502
Troyano,67,Ingeniería social,5,68,5480
Troyano,62,Sitio web comprometido,7,74,1036
Ransomware,36,Vulnerabilidad de red,9,470,15575
Ataque DDoS,42,Vulnerabilidad de red,8,40,15858
Virus,65,Sitio web comprometido,7,79,1313
Spyware,60,Sitio web comprometido,5,54,2450
Ransomware,32,Correo electrónico,9,42,38611
Adware,43,Descarga de archivos,1,20,1202
Rootkit,28,Sitio web comprometido,9,132,38735
Ransomware,41,Sitio web comprometido,9,484,27300
Ataque DDoS,53,Vulnerabilidad de red,9,80,17517
Gusano (Worm),49,USB,7,111,17900
Adware,50,Sitio web comprometido,1,13,1934
Botnet,37,Sitio web comprometido,6,142,20049
Ransomware,26,Sitio web comprometido,9,421,49796
Troyano,57,Sitio web comprometido,5,63,9799
Virus,73,Descarga de archivos,5,28,2258
Troyano,45,Ingeniería social,8,51,17243
Virus,77,Correo electrónico,5,48,4227
Adware,43,Sitio web comprometido,4,11,304
Botnet,31,Descarga de archivos,6,158,19823
Phishing,93,Sitio web comprometido,5,6,2212
Gusano (Worm),37,Correo electrónico,7,142,14058
Virus,44,USB,6,7,495
Gusano (Worm),25,Correo electrónico,8,149,17216
Phishing,81,Ingeniería social,7,83,1490
Spyware,54,Descarga de archivos,7,46,5662
Virus,81,Sitio web comprometido,7,61,3958
Phishing,96,Correo electrónico,5,83,4336
Phishing,71,Correo electrónico,7,52,12796
Ataque DDoS,29,Vulnerabilidad de red,7,82,22532
Phishing,57,Ingeniería social,6,37,10790
Ransomware,16,Sitio web comprometido,7,219,34191
Ataque DDoS,20,Vulnerabilidad de red,6,169,25485
Rootkit,35,USB,8,201,14012
Ataque DDoS,54,Vulnerabilidad de red,8,75,17917
Spyware,31,Descarga de archivos,6,13,5666
Gusano (Worm),64,Sitio web comprometido,7,55,15940
Gusano (Worm),21,Vulnerabilidad de red,7,37,12986
Ransomware,52,Descarga de archivos,8,226,38020
Ataque DDoS,21,Vulnerabilidad de red,7,170,30443
Ransomware,30,Vulnerabilidad de red,8,302,47719
Phishing,48,Sitio web comprometido,8,96,6926
Ataque DDoS,57,Ingeniería social,6,172,22017
Phishing,55,Correo electrónico,4,67,9947
Ataque DDoS,53,Ingeniería social,8,165,7297
Virus,34,Correo electrónico,5,39,7160
Virus,34,Correo electrónico,3,12,4859
Botnet,18,Correo electrónico,7,165,19829
Virus,52,Descarga de archivos,6,61,7078
Adware,43,Descarga de archivos,2,6,1306
Ataque DDoS,47,Ingeniería social,6,131,14250
Spyware,46,Correo electrónico,5,29,1814
Spyware,21,Correo electrónico,5,10,4670
Phishing,96,Ingeniería social,5,31,12025
Adware,86,Descarga de archivos,1,17,618
Phishing,89,Correo electrónico,4,92,675
Phishing,43,Correo electrónico,7,22,12195
Troyano,37,Ingeniería social,9,12,11479
Ransomware,34,Sitio web comprometido,7,43,5350
Phishing,43,Correo electrónico,4,43,10329
Ransomware,31,Correo electrónico,7,270,29318
Ataque DDoS,55,Vulnerabilidad de red,10,128,33433
Ransomware,22,Descarga de archivos,7,214,31535
Ransomware,47,Sitio web comprometido,8,156,5030
Ransomware,21,Sitio web comprometido,10,44,8252
Spyware,45,Descarga de archivos,6,60,5999
Botnet,28,Vulnerabilidad de red,7,49,22994
Rootkit,6,Descarga de archivos,9,201,38175
Gusano (Worm),63,Vulnerabilidad de red,7,55,17966
Botnet,42,Correo electrónico,9,78,20626
Adware,35,Sitio web comprometido,4,20,1784
Adware,78,Descarga de archivos,2,16,775
Virus,58,Sitio web comprometido,4,52,168
Rootkit,5,USB,10,203,39799
Ransomware,16,Correo electrónico,10,108,22332
Rootkit,6,Vulnerabilidad de red,10,226,39390
Troyano,64,Descarga de archivos,9,81,14710
Gusano (Worm),35,Vulnerabilidad de red,5,101,16858
Troyano,56,Descarga de archivos,9,83,1173
Adware,36,Descarga de archivos,3,17,579
Adware,41,Sitio web comprometido,4,18,1521
Adware,73,Descarga de archivos,2,5,1668
Phishing,84,Correo electrónico,5,5,307
Ransomware,29,Correo electrónico,10,358,40963
Phishing,97,Correo electrónico,5,45,336
Botnet,22,Vulnerabilidad de red,7,129,6613
Phishing,43,Ingeniería social,4,85,14694
Gusano (Worm),60,Correo electrónico,9,102,11135
Botnet,26,Sitio web comprometido,7,42,4323
Phishing,87,Correo electrónico,6,45,4556
Rootkit,15,Sitio web comprometido,7,34,6453
Troyano,63,Descarga de archivos,5,83,16862
Troyano,68,Ingeniería social,8,18,3389
Ransomware,38,Vulnerabilidad de red,9,369,6169
Adware,78,Descarga de archivos,2,16,1622
Ransomware,29,Sitio web comprometido,8,129,17476
Adware,32,Correo electrónico,3,16,1987
Ataque DDoS,56,Vulnerabilidad de red,6,20,17236
Ransomware,30,Correo electrónico,8,345,37948
Phishing,52,Ingeniería social,7,80,7492
Adware,66,Descarga de archivos,1,12,746
Spyware,52,Sitio web comprometido,6,50,359
Adware,56,Correo electrónico,1,4,1648
Ataque DDoS,33,Ingeniería social,5,43,8139
Adware,60,Descarga de archivos,2,19,1387
Phishing,67,Sitio web comprometido,6,87,13585
Ransomware,15,Correo electrónico,9,219,36734
Spyware,34,Descarga de archivos,5,35,1885
Spyware,28,Descarga de archivos,7,55,1227
Adware,64,Sitio web comprometido,1,11,1060
Ataque DDoS,27,Vulnerabilidad de red,8,164,14816
Phishing,47,Ingeniería social,6,34,2624
Phishing,53,Correo electrónico,7,8,4305
Spyware,24,Correo electrónico,7,55,5114
Adware,69,Descarga de archivos,4,3,308
Troyano,64,Ingeniería social,5,83,1720
Spyware,57,Descarga de archivos,5,7,3778
Spyware,25,Sitio web comprometido,7,41,2320
Virus,83,Sitio web comprometido,5,80,4265
Botnet,16,Vulnerabilidad de red,6,91,16964
Phishing,46,Ingeniería social,6,6,11562
Ataque DDoS,42,Vulnerabilidad de red,8,84,29137
Botnet,32,Correo electrónico,9,159,23928
Phishing,78,Ingeniería social,4,18,6347
Troyano,53,Ingeniería social,7,44,15901
Phishing,100,Correo electrónico,7,23,4197
Ataque DDoS,25,Vulnerabilidad de red,8,83,10194
Ransomware,38,Correo electrónico,10,405,37503
Troyano,52,Correo electrónico,8,82,11613
Troyano,53,Descarga de archivos,6,113,16523
Spyware,34,Correo electrónico,6,17,5418
Botnet,11,Correo electrónico,5,64,2614
Adware,86,Sitio web comprometido,3,8,733
Adware,43,Descarga de archivos,3,7,1464
Phishing,49,Ingeniería social,6,47,13721
Ataque DDoS,27,Vulnerabilidad de red,8,52,28975
Troyano,55,Sitio web comprometido,5,73,11762
Phishing,70,Ingeniería social,7,27,12367
Adware,82,Descarga de archivos,1,16,1551
Ataque DDoS,33,Sitio web comprometido,8,104,28078
Ransomware,52,Vulnerabilidad de red,7,205,11855
Virus,47,Descarga de archivos,7,64,2227
Adware,46,Sitio web comprometido,1,3,942
Phishing,92,Correo electrónico,6,57,2034
Botnet,17,Descarga de archivos,6,151,21560
Ransomware,31,Correo electrónico,10,406,49368
Virus,45,Descarga de archivos,4,34,6681
Phishing,59,Ingeniería social,5,67,7356
Virus,36,Descarga de archivos,3,73,7559
Adware,61,Correo electrónico,1,9,943
Spyware,46,Correo electrónico,7,24,3361
Gusano (Worm),64,Correo electrónico,6,102,15308
Phishing,62,Ingeniería social,7,11,10563
Rootkit,9,Vulnerabilidad de red,9,75,2063
Troyano,60,Descarga de archivos,7,67,4195
Ataque DDoS,27,Vulnerabilidad de red,5,135,2689
Ransomware,22,Vulnerabilidad de red,9,256,10906
Phishing,93,Correo electrónico,6,50,1661
Ataque DDoS,59,Sitio web comprometido,5,113,1910
Ransomware,39,Sitio web comprometido,10,441,26206
Phishing,90,Ingeniería social,7,20,5543
Troyano,29,Ingeniería social,9,44,9324
Phishing,89,Correo electrónico,7,53,11075
Gusano (Worm),55,Vulnerabilidad de red,6,77,9732
Troyano,30,Correo electrónico,6,71,867
Ransomware,52,Sitio web comprometido,10,244,14620
Ransomware,14,Descarga de archivos,7,302,10617
Phishing,74,Ingeniería social,5,85,13165
Gusano (Worm),30,Correo electrónico,7,19,11235
Ataque DDoS,25,Vulnerabilidad de red,6,165,34151
Ataque DDoS,31,Vulnerabilidad de red,9,62,14408
Rootkit,27,Vulnerabilidad de red,7,300,10025
Ataque DDoS,30,Vulnerabilidad de red,7,100,24307
Ataque DDoS,46,Vulnerabilidad de red,6,26,18324
Troyano,40,Sitio web comprometido,8,116,674
Spyware,21,Descarga de archivos,3,21,1742
Gusano (Worm),29,Correo electrónico,5,26,7700
Ataque DDoS,52,Vulnerabilidad de red,6,20,24127
Botnet,28,Vulnerabilidad de red,5,193,21765
Adware,65,Sitio web comprometido,1,10,1128
Phishing,58,Ingeniería social,6,24,5970
Ransomware,52,Descarga de archivos,8,145,13091
Rootkit,7,USB,10,81,30137
Troyano,35,Descarga de archivos,7,115,1721
Virus,53,Descarga de archivos,6,72,1213
Spyware,51,Descarga de archivos,6,30,569
Phishing,59,Correo electrónico,7,39,14812
Adware,88,Descarga de archivos,4,18,1274
Troyano,37,Descarga de archivos,8,94,10746
Troyano,44,Correo electrónico,6,55,17956
Phishing,86,Correo electrónico,4,60,7282
Phishing,47,Correo electrónico,4,11,10781
Troyano,53,Ingeniería social,7,43,17611
Ataque DDoS,24,Ingeniería social,9,158,32430
Ransomware,19,Sitio web comprometido,8,171,7328
Troyano,25,Correo electrónico,7,39,13649
Rootkit,14,Sitio web comprometido,8,37,4326
Botnet,17,Sitio web comprometido,5,100,14868
Ataque DDoS,28,Ingeniería social,6,170,17083
Virus,39,USB,6,56,328
Ransomware,32,Vulnerabilidad de red,7,195,20408
Ransomware,50,Correo electrónico,8,431,44039
Gusano (Worm),20,USB,6,66,6258
Botnet,21,Vulnerabilidad de red,8,168,24665
Ataque DDoS,19,Vulnerabilidad de red,8,164,12853
Virus,69,USB,3,75,3566
Botnet,20,Correo electrónico,6,167,22399
Adware,59,Descarga de archivos,1,14,1990
Gusano (Worm),56,Correo electrónico,5,74,5836
Phishing,96,Correo electrónico,8,35,4974
Gusano (Worm),32,Correo electrónico,5,9,2965
Gusano (Worm),51,USB,6,88,10684
Gusano (Worm),51,Sitio web comprometido,9,71,3248
Troyano,54,Sitio web comprometido,7,110,2182
Phishing,66,Ingeniería social,5,61,10030
Ataque DDoS,26,Sitio web comprometido,7,180,4775
Botnet,38,Sitio web comprometido,5,83,19653
Botnet,23,Correo electrónico,9,25,11240
Adware,83,Descarga de archivos,3,3,894
Ataque DDoS,15,Sitio web comprometido,9,92,33654
Ataque DDoS,19,Sitio web comprometido,9,70,19250
Botnet,29,Descarga de archivos,7,129,10191
Ransomware,45,Correo electrónico,9,119,48869
Troyano,48,Ingeniería social,8,72,11124
Ransomware,40,Sitio web comprometido,7,48,43493
Troyano,43,Sitio web comprometido,8,115,17566
Phishing,86,Correo electrónico,8,54,1166
Ataque DDoS,55,Ingeniería social,7,98,2173
Virus,60,Correo electrónico,5,9,1144
Spyware,40,Descarga de archivos,6,35,236
Virus,61,Sitio web comprometido,6,58,246
Spyware,21,Descarga de archivos,6,26,4943
Ransomware,37,Correo electrónico,9,397,45140
Botnet,28,Correo electrónico,5,39,23443
Ataque DDoS,56,Ingeniería social,9,74,11104
Ataque DDoS,24,Vulnerabilidad de red,6,88,5326
Virus,75,Descarga de archivos,5,76,2083
Troyano,67,Correo electrónico,7,104,6174
Gusano (Worm),62,Correo electrónico,9,87,9351
Botnet,43,Descarga de archivos,7,98,23556
Spyware,31,Sitio web comprometido,6,11,4959
Phishing,47,Correo electrónico,4,22,603
Rootkit,35,Vulnerabilidad de red,10,38,4427
Troyano,47,Sitio web comprometido,7,38,13007
Spyware,49,Descarga de archivos,6,5,5878
Ransomware,10,Correo electrónico,8,141,28853
Gusano (Worm),39,Correo electrónico,8,113,10941
Troyano,51,Descarga de archivos,7,60,12100
Adware,85,Sitio web comprometido,1,17,803
Rootkit,18,Vulnerabilidad de red,8,87,10684
Ransomware,14,Vulnerabilidad de red,8,464,6904
Rootkit,14,Descarga de archivos,10,124,6890
Ransomware,29,Vulnerabilidad de red,7,82,33056
Ransomware,43,Descarga de archivos,10,47,25062
Spyware,45,Descarga de archivos,5,28,1489
Ransomware,43,Vulnerabilidad de red,8,174,49065
Gusano (Worm),56,Vulnerabilidad de red,9,115,15233
Ataque DDoS,20,Vulnerabilidad de red,9,64,4509
Ataque DDoS,33,Ingeniería social,5,93,33428
Spyware,56,Descarga de archivos,7,42,2251
Spyware,28,USB,3,15,3011
Ransomware,29,Correo electrónico,9,233,12832
Adware,40,Descarga de archivos,1,18,1254
Ransomware,34,Correo electrónico,7,291,33592
Rootkit,5,Vulnerabilidad de red,10,146,35853
Ransomware,54,Vulnerabilidad de red,8,285,46390
Phishing,81,Correo electrónico,8,61,998
Spyware,22,Descarga de archivos,3,17,3361
Rootkit,33,Descarga de archivos,10,105,19766
Gusano (Worm),48,Vulnerabilidad de red,7,17,12119
Adware,50,Descarga de archivos,2,16,1763
Botnet,25,Descarga de archivos,5,137,16606
Ransomware,38,Correo electrónico,9,128,24967
Phishing,88,Correo electrónico,8,16,9274
Troyano,55,Descarga de archivos,5,79,413
Botnet,41,Correo electrónico,8,31,18512
Ransomware,14,Correo electrónico,8,83,17930
Phishing,82,Ingeniería social,4,35,901
Troyano,40,Correo electrónico,9,31,544
Virus,76,Sitio web comprometido,5,36,7928
Ransomware,48,Vulnerabilidad de red,8,483,47595
Phishing,58,Correo electrónico,7,89,7420
Adware,51,Correo electrónico,4,20,414
Phishing,75,Correo electrónico,6,95,11144
Ransomware,29,Correo electrónico,8,59,8583
Adware,85,Descarga de archivos,4,18,1185
Spyware,23,Sitio web comprometido,6,43,3787
Spyware,38,Descarga de archivos,7,46,5864
Phishing,95,Ingeniería social,8,86,12946
Adware,69,Descarga de archivos,4,20,363
Spyware,59,Correo electrónico,7,15,1167
Spyware,23,Sitio web comprometido,6,49,2173
Ransomware,13,Vulnerabilidad de red,7,399,16231
Virus,35,Correo electrónico,5,13,5574
Troyano,49,Sitio web comprometido,6,48,13182
Ataque DDoS,31,Vulnerabilidad de red,5,170,31574
Troyano,37,Ingeniería social,5,31,15505
Ransomware,28,Correo electrónico,8,41,48100
Ransomware,18,Descarga de archivos,8,496,36353
Troyano,50,Sitio web comprometido,8,92,17177
Phishing,84,Ingeniería social,8,58,3911
Phishing,61,Ingeniería social,6,20,1635
Adware,83,Sitio web comprometido,3,9,1738
Virus,50,USB,4,70,4892
Virus,67,Correo electrónico,3,6,3842
Ataque DDoS,16,Vulnerabilidad de red,5,31,21572
Virus,41,USB,5,19,4778
Gusano (Worm),29,Sitio web comprometido,5,16,19982
Phishing,81,Correo electrónico,6,95,3326
Troyano,58,Ingeniería social,9,13,4033
Spyware,39,Sitio web comprometido,4,48,3306
Ataque DDoS,32,Ingeniería social,6,175,28943
Phishing,65,Correo electrónico,8,87,3592
Virus,39,USB,6,50,971
Rootkit,32,USB,9,147,29673
Adware,68,Sitio web comprometido,3,1,287
Phishing,57,Sitio web comprometido,4,61,9608
Adware,64,Sitio web comprometido,4,15,1641
Botnet,33,Correo electrónico,7,132,8123
Ataque DDoS,35,Ingeniería social,7,48,7646
Spyware,36,Correo electrónico,5,56,5083
Troyano,35,Sitio web comprometido,7,28,1806
Ataque DDoS,36,Sitio web comprometido,7,130,4249
Spyware,43,Descarga de archivos,3,47,3209
Botnet,14,Sitio web comprometido,7,65,15828
Adware,58,Correo electrónico,4,16,1997
Phishing,59,Correo electrónico,8,47,7659
Spyware,33,USB,3,32,5542
Phishing,51,Ingeniería social,4,28,12536
Virus,59,Correo electrónico,7,24,7565
Adware,88,Descarga de archivos,4,8,673
Gusano (Worm),58,Vulnerabilidad de red,6,27,6304
